league,group,club,superscore_coach,superscore_change_date,previous_superscore_coach,confirmed_superscore_coach,pending_superscore_coach,superscore_history_version,ninetyminut_coach,previous_90minut_coach,change_date,comment,comment_updated_at,last_checked,is_difference,result
3 Liga,Group 1,Jagiellonia II Białystok,Daniel Rusek,,,Daniel Rusek,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,KS CK Troszyn,Michał Hryszko,,,Michał Hryszko,,2,Michał Hryszko,,11 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 1,KTS Weszło Warszawa,Łukasz Ryczkowski,,,Łukasz Ryczkowski,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Lechia Tomaszów Mazowiecki,Bartosz Grzelak,,,Bartosz Grzelak,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Mazovia Mińsk Mazowiecki,Damian Guzek,,,Damian Guzek,,2,Damian Guzek,,25 czerwca 2024,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 1,Mławianka Mława,Marek Golebiewski,,,Marek Golebiewski,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Olimpia Elbląg,Karol Przybyła,,,Karol Przybyła,,2,Karol Przybyła,,25 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 1,Olimpia Zambrów,Michał Kolanowski,,,Michał Kolanowski,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Pelikan Łowicz,Piotr Koceba,,,Piotr Koceba,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Polonia Lidzbark Warmiński,Piotr Jacek,,,Piotr Jacek,,2,Piotr Jacek,,3 marca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 1,Warta Sieradz,Marek Przybył,,,Marek Przybył,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Widzew II Łódź,Paweł Ściebura,,,Paweł Ściebura,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Wigry Suwałki,Arkadiusz Szczerbowski,,,Arkadiusz Szczerbowski,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Wisła II Płock,Damian Kijek,,,Damian Kijek,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,Ząbkovia Ząbki,Michał Maliszewski,,,Michał Maliszewski,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,ŁKS II Łódź,Radosław Pęciak,,,Radosław Pęciak,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 1,ŁKS Łomża,Maciej Tarnogrodzki,,,Maciej Tarnogrodzki,,2,Maciej Tarnogrodzki,,11 kwietnia 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 1,Świt Nowy Dwór Mazowiecki,Michał Złotkowski,,,Michał Złotkowski,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Bałtyk Koszalin,,,,,,2,,,,,,2026-09-24 15:33:01,False,UNKNOWN
3 Liga,Group 2,Błękitni Stargard,Mateusz Silewicz,,,Mateusz Silewicz,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Chemik Bydgoszcz,Piotr Gruszka,,,Piotr Gruszka,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Elana Toruń,Mateusz Główczewski,,,Mateusz Główczewski,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Flota Świnoujście,Tomasz Pawliczak,,,Tomasz Pawliczak,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Gedania Gdańsk,Dariusz Stasiuk,,,Dariusz Stasiuk,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Grom Nowy Staw,Dawid Lelen,,,Dawid Lelen,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,KKS 1925 Kalisz,Artur Derbin,,,Artur Derbin,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Kluczevia Stargard,Bartosz Bartłomiejczyk,,,Bartosz Bartłomiejczyk,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Kotwica Kórnik,Daniel Ledzion,,,Daniel Ledzion,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Lech II Poznań,Joop Oosterveld,,,Joop Oosterveld,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Lipno Stęszew,Arkadiusz Kaliszan,,,Arkadiusz Kaliszan,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Noteć Czarnków,Adam Drozdowicz,,,Adam Drozdowicz,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Polonia Środa Wielkopolska,Marcin Płuska,,,Marcin Płuska,,2,Marcin Płuska,,14 kwietnia 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 2,Unia Swarzędz,Damian Ludwiczak,,,Damian Ludwiczak,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Victoria Września,Lukasz Bandosz,,,Lukasz Bandosz,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Wda Świecie,Szymon Kmiecik,,,Szymon Kmiecik,,2,,,,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 2,Wikęd Luzino,Maciej Pliński,,,Maciej Pliński,,2,Maciej Pliński,,24 czerwca 2024,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Barycz Sułów,Tomasz Horwat,,,Tomasz Horwat,,2,Tomasz Horwat,,11 stycznia 2024,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Carina Gubin,Piotr Leciejewski,,,Piotr Leciejewski,,2,Maciej Kulikowski,,15 czerwca 2026,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 3,Górnik Polkowice,Andrzej Sawicki,,,Andrzej Sawicki,,2,Andrzej Sawicki,,16 kwietnia 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,KS Stilon Gorzów Wielkopolski,Karol Gliwiński,,,Karol Gliwiński,,2,Karol Gliwiński,,24 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Karkonosze Jelenia Góra,Patryk Szymik,,,Patryk Szymik,,2,Patryk Szymik,,22 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,LKS Goczałkowice Zdrój,Łukasz Piotr Piszczek,,,Łukasz Piotr Piszczek,,2,Łukasz Piszczek,,29 czerwca 2026,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 3,MKS Kluczbork,Lukasz Ganowicz,,,Lukasz Ganowicz,,2,Łukasz Ganowicz,,21 czerwca 2023,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Miedź II Legnica,Marcin Garuch,,,Marcin Garuch,,2,Marcin Garuch,,20 września 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Odra Bytom Odrzański,Michal Kowbel,,,Michal Kowbel,,2,Michał Kowbel,,16 kwietnia 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Polonia Nysa,Krzysztof Mordak,,,Krzysztof Mordak,,2,Krzysztof Mordak,,16 kwietnia 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,ROW 1964 Rybnik,Jacek Trzeciak,,,Jacek Trzeciak,,2,Jacek Trzeciak,,2 lipca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Raków II Częstochowa,Michał Mizgała,,,Michał Mizgała,,2,Przemysław Oziębała,,1 lipca 2025,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 3,Sparta Katowice,Dariusz Klacza,,,Dariusz Klacza,,2,Dariusz Klacza,,1 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Stal Brzeg,Zbigniew Smółka,,,Zbigniew Smółka,,2,Zbigniew Smółka,,20 sierpnia 2024,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Warta Gorzów Wielkopolski,Grzegorz Kopernicki,,,Grzegorz Kopernicki,,2,Grzegorz Kopernicki,,16 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Zagłębie II Lubin,Arkadiusz Radomski,,,Arkadiusz Radomski,,2,Arkadiusz Radomski,,12 lipca 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Zagłębie Sosnowiec,Tomasz Łuczywek,,,Tomasz Łuczywek,,2,Tomasz Łuczywek,,19 kwietnia 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 3,Ślęza Wrocław,Grzegorz Kowalski,,,Grzegorz Kowalski,,2,Grzegorz Kowalski,,grudnia 2015,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,AKS 1947 Busko Zdrój,Paweł Węgrzyn,,,Paweł Węgrzyn,,2,Paweł Węgrzyn,,1 lipca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Chełmianka Chełm,Ireneusz Pietrzykowski,,,Ireneusz Pietrzykowski,,2,Ireneusz Pietrzykowski,,1 lipca 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Czarni Połaniec,Sebastian Ryguła,,,Sebastian Ryguła,,2,Sebastian Ryguła,,20 grudnia 2024,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Hetman Zamość,Łukasz Gieresz,,,Łukasz Gieresz,,2,Łukasz Gieresz,,lipca 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,JKS Jarosław,Walerij Sokolenko,,,Walerij Sokolenko,,2,Wałerij Sokołenko,,8 lipca 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,KSZO 1929 Ostrowiec Świętokrzyski,Tarkowski Łukasz,,,Tarkowski Łukasz,,2,Łukasz Tarkowski,,28 kwietnia 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Korona II Kielce,Adach Arkadiusz,,,Adach Arkadiusz,,2,Arkadiusz Adach,,7 lipca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Moravia Morawica,Oskar Gwóźdź,,,Oskar Gwóźdź,,2,Marcin Kołodziejczyk,,6 lipca 2026,,,2026-09-24 15:33:01,True,DIFFERENCE
3 Liga,Group 4,Naprzód Jędrzejów,Łukasz Cabaj,,,Łukasz Cabaj,,2,Łukasz Cabaj,,15 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Podlasie Biała Podlaska,Maciej Oleksiuk,,,Maciej Oleksiuk,,2,Maciej Oleksiuk,,20 maja 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Pogoń-Sokół Lubaczów,Wojciech Makowski,,,Wojciech Makowski,,2,Wojciech Makowski,,6 września 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Siarka Tarnobrzeg,Sławomir Majak,,,Sławomir Majak,,2,Sławomir Majak,,24 czerwca 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Sokół Kolbuszowa Dolna,Sławomir Szeliga,,,Sławomir Szeliga,,2,Sławomir Szeliga,,5 listopada 2025,,,2026-09-24 15:33:01,False,MATCH
