league,group,club,superscore_url,ninetyminut_url
1 Liga,,Pogoń Grodzisk Mazowiecki,https://superscore.live/pl-PL/pilka-nozna/druzyny/pogon-grodzisk-mazowiecki/vk0qrk2u/sklad,http://www.90minut.pl/skarb.php?id_klub=284&id_sezon=109
1 Liga,,Pogoń Siedlce,https://superscore.live/pl-PL/pilka-nozna/druzyny/pogon-siedlce/otqm02e2/sklad,http://www.90minut.pl/skarb.php?id_klub=293&id_sezon=109
1 Liga,,Polonia Bytom,https://superscore.live/pl-PL/pilka-nozna/druzyny/polonia-bytom/17i8826d/sklad,http://www.90minut.pl/skarb.php?id_klub=306&id_sezon=109
1 Liga,,Polonia Warszawa,https://superscore.live/pl-PL/pilka-nozna/druzyny/polonia-warszawa/23lvbea7/sklad,http://www.90minut.pl/skarb.php?id_klub=317&id_sezon=109
1 Liga,,Puszcza Niepołomice,https://superscore.live/pl-PL/pilka-nozna/druzyny/puszcza-niepolomice/ugo3w70w/sklad,http://www.90minut.pl/skarb.php?id_klub=1505&id_sezon=109
1 Liga,,Ruch Chorzów,https://superscore.live/pl-PL/pilka-nozna/druzyny/ruch-chorzow/bdm6x5tm/sklad,http://www.90minut.pl/skarb.php?id_klub=340&id_sezon=109
1 Liga,,Stal Mielec,https://superscore.live/pl-PL/pilka-nozna/druzyny/stal-mielec/838c41vo/sklad,http://www.90minut.pl/skarb.php?id_klub=368&id_sezon=109
1 Liga,,Stal Rzeszów,https://superscore.live/pl-PL/pilka-nozna/druzyny/stal-rzeszow/yvjzl4o8/sklad,http://www.90minut.pl/skarb.php?id_klub=371&id_sezon=109
1 Liga,,Bruk-Bet Termalica Nieciecza,https://superscore.live/pl-PL/pilka-nozna/druzyny/termalica-nieciecza/whxaiped/sklad,http://www.90minut.pl/skarb.php?id_klub=19729&id_sezon=109
1 Liga,,Unia Skierniewice,https://superscore.live/pl-PL/pilka-nozna/druzyny/unia-skierniewice/caskb69q/sklad,http://www.90minut.pl/skarb.php?id_klub=403&id_sezon=109
1 Liga,,Warta Poznań,https://superscore.live/pl-PL/pilka-nozna/druzyny/warta-poznan/ui35ed6z/sklad,http://www.90minut.pl/skarb.php?id_klub=414&id_sezon=109
2 Liga,,Avia Świdnik,https://superscore.live/pl-PL/pilka-nozna/druzyny/avia-swidnik/6832gtn8/sklad,http://www.90minut.pl/skarb.php?id_klub=12&id_sezon=109
2 Liga,,Chojniczanka Chojnice,https://superscore.live/pl-PL/pilka-nozna/druzyny/chojniczanka-chojnice/7n92oq0t/sklad,http://www.90minut.pl/skarb.php?id_klub=42&id_sezon=109
2 Liga,,Hutnik Kraków,https://superscore.live/pl-PL/pilka-nozna/druzyny/hutnik-krakow/5h30uoim/sklad,http://www.90minut.pl/skarb.php?id_klub=121&id_sezon=109
2 Liga,,Lechia Zielona Góra,https://superscore.live/pl-PL/pilka-nozna/druzyny/lechia-zielona-gora/ybc4hzji/sklad,http://www.90minut.pl/skarb.php?id_klub=168&id_sezon=109
2 Liga,,Górnik Łęczna,https://superscore.live/pl-PL/pilka-nozna/druzyny/gornik-leczna/2pq7gvjp/sklad,http://www.90minut.pl/skarb.php?id_klub=93&id_sezon=109
2 Liga,,Legia II Warszawa,https://superscore.live/pl-PL/pilka-nozna/druzyny/legia-warszawa-ii/9v2xdc6y/sklad,http://www.90minut.pl/skarb.php?id_klub=782&id_sezon=109
2 Liga,,Olimpia Grudziądz,https://superscore.live/pl-PL/pilka-nozna/druzyny/olimpia-grudziadz/jgl9s1cx/sklad,http://www.90minut.pl/skarb.php?id_klub=1302&id_sezon=109
2 Liga,,Podhale Nowy Targ,https://superscore.live/pl-PL/pilka-nozna/druzyny/podhale-nowy-targ/svyqi0hr/sklad,http://www.90minut.pl/skarb.php?id_klub=14382&id_sezon=109
2 Liga,,Rekord Bielsko-Biała,https://superscore.live/pl-PL/pilka-nozna/druzyny/rekord-bielsko-biala/hrn8c350/sklad,http://www.90minut.pl/skarb.php?id_klub=3707&id_sezon=109
2 Liga,,Resovia,https://superscore.live/pl-PL/pilka-nozna/druzyny/resovia-rzeszow/2iiyxlo3/sklad,http://www.90minut.pl/skarb.php?id_klub=331&id_sezon=109
2 Liga,,Sandecja Nowy Sącz,https://superscore.live/pl-PL/pilka-nozna/druzyny/sandecja-nowy-sacz/sw1ap2wm/sklad,http://www.90minut.pl/skarb.php?id_klub=343&id_sezon=109
2 Liga,,Śląsk II Wrocław,https://superscore.live/pl-PL/pilka-nozna/druzyny/slask-wroclaw-ii/43wm5a8n/sklad,http://www.90minut.pl/skarb.php?id_klub=1672&id_sezon=109
2 Liga,,Sokół Kleczew,https://superscore.live/pl-PL/pilka-nozna/druzyny/sokol-kleczew/00upzed5/sklad,http://www.90minut.pl/skarb.php?id_klub=1576&id_sezon=109
2 Liga,,Stal Stalowa Wola,https://superscore.live/pl-PL/pilka-nozna/druzyny/stal-stalowa-wola/en0qre7t/sklad,http://www.90minut.pl/skarb.php?id_klub=373&id_sezon=109
2 Liga,,Świt Szczecin,https://superscore.live/pl-PL/pilka-nozna/druzyny/swit-szczecin/u9w0leug/sklad,http://www.90minut.pl/skarb.php?id_klub=26775&id_sezon=109
2 Liga,,GKS Tychy,https://superscore.live/pl-PL/pilka-nozna/druzyny/gks-tychy/4g3lqj3o/sklad,http://www.90minut.pl/skarb.php?id_klub=82&id_sezon=109
2 Liga,,Zawisza Bydgoszcz,https://superscore.live/pl-PL/pilka-nozna/druzyny/zawisza-bydgoszcz/07t8tkvv/sklad,http://www.90minut.pl/skarb.php?id_klub=444&id_sezon=109
2 Liga,,Znicz Pruszków,https://superscore.live/pl-PL/pilka-nozna/druzyny/znicz-pruszkow/cu01goy3/sklad,http://www.90minut.pl/skarb.php?id_klub=448&id_sezon=109
3 Liga,Group 2,Bałtyk Koszalin,https://superscore.live/pl-PL/pilka-nozna/druzyny/baltyk-koszalin/9e6ehby0/sklad,http://www.90minut.pl/skarb.php?id_klub=2393&id_sezon=109
3 Liga,Group 2,Błękitni Stargard,https://superscore.live/pl-PL/pilka-nozna/druzyny/blekitni-stargard/wxvzpx4j/sklad,http://www.90minut.pl/skarb.php?id_klub=21170&id_sezon=109
3 Liga,Group 2,Chemik Bydgoszcz,https://superscore.live/pl-PL/pilka-nozna/druzyny/chemik-bydgoszcz/477zdf3z/sklad,http://www.90minut.pl/skarb.php?id_klub=38&id_sezon=109
3 Liga,Group 2,Elana Toruń,https://superscore.live/pl-PL/pilka-nozna/druzyny/elana-torun/qhqulpwi/sklad,http://www.90minut.pl/skarb.php?id_klub=67&id_sezon=109
3 Liga,Group 2,Gedania Gdańsk,https://superscore.live/pl-PL/pilka-nozna/druzyny/gedania-gdansk/83tkbk5p/sklad,http://www.90minut.pl/skarb.php?id_klub=953&id_sezon=109
3 Liga,Group 2,Grom Nowy Staw,https://superscore.live/pl-PL/pilka-nozna/druzyny/nowy-staw/8eqka7ws/sklad,http://www.90minut.pl/skarb.php?id_klub=4773&id_sezon=109
3 Liga,Group 2,KKS 1925 Kalisz,https://superscore.live/pl-PL/pilka-nozna/druzyny/kks-kalisz/wcf5cjis/sklad,http://www.90minut.pl/skarb.php?id_klub=10574&id_sezon=109
3 Liga,Group 2,Lipno Stęszew,https://superscore.live/pl-PL/pilka-nozna/druzyny/ks-lipno-steszew/b6qplzpq/sklad,http://www.90minut.pl/skarb.php?id_klub=6795&id_sezon=109
3 Liga,Group 2,Kotwica Kórnik,https://superscore.live/pl-PL/pilka-nozna/druzyny/kotwica-kornik/k4qzvn8o/sklad,http://www.90minut.pl/skarb.php?id_klub=150&id_sezon=109
3 Liga,Group 2,Lech II Poznań,https://superscore.live/pl-PL/pilka-nozna/druzyny/lech-ii-p/y05ndc77/sklad,http://www.90minut.pl/skarb.php?id_klub=1133&id_sezon=109
3 Liga,Group 2,Flota Świnoujście,https://superscore.live/pl-PL/pilka-nozna/druzyny/flota-swinoujscie/pk92rbi4/sklad,http://www.90minut.pl/skarb.php?id_klub=73&id_sezon=109
3 Liga,Group 2,Noteć Czarnków,https://superscore.live/pl-PL/pilka-nozna/druzyny/notec-czarnkow/61pwt9an/sklad,http://www.90minut.pl/skarb.php?id_klub=237&id_sezon=109
3 Liga,Group 2,Victoria Września,https://superscore.live/pl-PL/pilka-nozna/druzyny/v-wrzesnia/4dnd20iw/sklad,http://www.90minut.pl/skarb.php?id_klub=1753&id_sezon=109
3 Liga,Group 2,Polonia Środa Wielkopolska,https://superscore.live/pl-PL/pilka-nozna/druzyny/polonia-sroda-wielkopolska/l6jg8ysh/sklad,http://www.90minut.pl/skarb.php?id_klub=1474&id_sezon=109
3 Liga,Group 2,Unia Swarzędz,https://superscore.live/pl-PL/pilka-nozna/druzyny/unia-swarzedz/lodb4rve/sklad,http://www.90minut.pl/skarb.php?id_klub=404&id_sezon=109
3 Liga,Group 2,Wda Świecie,https://superscore.live/pl-PL/pilka-nozna/druzyny/wda-swiecie/hxn200ll/sklad,http://www.90minut.pl/skarb.php?id_klub=417&id_sezon=109
3 Liga,Group 2,Wikęd Luzino,https://superscore.live/pl-PL/pilka-nozna/druzyny/wiked-luzino/2at70dn2/sklad,http://www.90minut.pl/skarb.php?id_klub=25712&id_sezon=109
3 Liga,Group 2,Kluczevia Stargard,https://superscore.live/pl-PL/pilka-nozna/druzyny/zks-kluczevia-stargard/n8gxjwgc/sklad,http://www.90minut.pl/skarb.php?id_klub=19798&id_sezon=109
3 Liga,Group 3,Barycz Sułów,https://superscore.live/pl-PL/pilka-nozna/druzyny/barycz-sulow/9v63qp9m/sklad,http://www.90minut.pl/skarb.php?id_klub=3552&id_sezon=109
